Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
oneTBB,Rockfish,,,,,"oneTBB is a flexible C++ library that simplifies the work of adding parallelism to complex applications, even if you are not a threading expert. Description Source:https://github.com/oneapi-src/oneTBB",https://www.intel.com/content/www/us/en/developer/tools/oneapi/onetbb.html#gs.5a71kr,https://www.intel.com/content/www/us/en/developer/tools/oneapi/onetbb.html#gs.5a71kr,
ont-guppy,Rockfish,,,,,Guppy is a data processing toolkit that contains the Oxford Nanopore Technologies' production basecalling algorithms and several bioinformatic post-processing features. Description Source:https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/guppy-software-overview,https://timkahlke.github.io/LongRead_tutorials/BS_G.html,https://community.nanoporetech.com/docs/prepare/library_prep_protocols/Guppy-protocol/v/gpb_2003_v1_revax_14dec2018/guppy-software-overview,
ooops,Stampede-2,,,,,"OOOPS, short for Optimal Overloaded IO Protection System, is an innovative IO workload managing system that optimally throttles the IO workload from the users' side. Description Source:https://github.com/TACC/ooops",https://github.com/TACC/ooops,https://github.com/TACC/ooops,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
openbabel,"ACES, Rockfish",,Bioinformatics,,,"Open Babel is a chemical toolbox designed to speak the many languages of chemical data. It’s an open, collaborative project allowing anyone to search, convert, analyze, or store data from molecular modeling, chemistry, solid-state materials, biochemistry, or related areas. Description Source:https://openbabel.org/",https://openbabel.org/,https://openbabel.org/docs/index.html,ACES: https://hprc.tamu.edu/software/aces/
OpenBLAS,"OOKAMI, Anvil, ACES, Bridges-2, Rockfish",Library,,Engineering,Mathematics,"OpenBLAS is a high-performance library for dense linear algebra operations, optimized for high-speed and efficient execution on various hardware architectures. OpenBLAS is widely used in scientific computing, engineering, and machine learning for operations such as matrix multiplication, solving linear systems, and other vector and matrix operations, offering significant performance improvements over generic BLAS implementations. Description Source:https://www.openblas.net/",https://www.openblas.net/,https://github.com/OpenMathLib/OpenBLAS/wiki/User-Manual," Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/openblas ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/openblas"
openblas-0.3.13-gcc-9.3.0-mfzw4tk,KyRIC,,,,,"OpenBLAS is a high-performance library for dense linear algebra operations, optimized for high-speed and efficient execution on various hardware architectures. OpenBLAS is widely used in scientific computing, engineering, and machine learning for operations such as matrix multiplication, solving linear systems, and other vector and matrix operations, offering significant performance improvements over generic BLAS implementations. Description Source:https://www.openblas.net/",https://www.openblas.net/,https://github.com/OpenMathLib/OpenBLAS/wiki/User-Manual,
opencarp,Rockfish,,,,,"openCARP is an open cardiac electrophysiology simulator for in-silico experiments. Its source code is public and the software is freely available for academic purposes. openCARP is easy to use and offers single cell as well as multiscale simulations from ion channel to organ level. Additionally, openCARP includes a wide variety of functions for pre- and post-processing of data as well as visualization. The python-based CARPutils framework enables the user to develop and share simulation pipelines, i.e. automating in-silico experiments including all modeling/simulation steps. Description Source:https://opencarp.org/",https://opencarp.org/,https://opencarp.org/documentation,
OpenCV,"ACES, Bridges-2",,,,,"OpenCV (Open Source Computer Vision Library) is an open source computer vision and machine learning software library. OpenCV was built to provide a common infrastructure for computer vision applications and to accelerate the use of machine perception in the commercial products. Being an Apache 2 licensed product, OpenCV makes it easy for businesses to utilize and modify the code. Description Source:https://opencv.org/about/",https://opencv.org/,https://docs.opencv.org/,"ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/opencv"
OpenEXR,ACES,,,,,"OpenEXR provides the specification and reference implementation of the EXR file format, the professional-grade image storage format of the motion picture industry. Description Source:https://openexr.com/en/latest/",https://openexr.com/en/latest/,https://openexr.com/en/latest/concepts.html,ACES: https://hprc.tamu.edu/software/aces/
openfoam,"OOKAMI, Stampede-2, DARWIN, ACES, Bridges-2",Software,"Simulation, Fluid Dynamics",Engineering,Mechanical Engineering,"OpenFOAM is the free, open source CFD software developed primarily by OpenCFD Ltd since 2004. It has an extensive range of features to solve anything from complex fluid flows involving chemical reactions, turbulence and heat transfer, to acoustics, solid mechanics and electromagnetics. Description Source:https://www.openfoam.com/",https://www.openfoam.com/,https://www.openfoam.com/documentation/overview," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  DARWIN: https://docs.hpc.udel.edu/software/openfoam/openfoam ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/openfoam"
openfoam-org,Rockfish,,,Engineering,Mechanical Engineering,"OpenFOAM is the free, open source CFD software developed primarily by OpenCFD Ltd since 2004. It has an extensive range of features to solve anything from complex fluid flows involving chemical reactions, turbulence and heat transfer, to acoustics, solid mechanics and electromagnetics. Description Source:https://www.openfoam.com/",https://www.openfoam.com/,https://www.openfoam.com/documentation/overview,
OpenFold,ACES,,,,,OpenFold is a faithful but trainable PyTorch reproduction of DeepMind's AlphaFold 2. Description Source:https://github.com/aqlaboratory/openfold,https://lupoglaz.github.io/OpenFold2/,https://github.com/aqlaboratory/openfold,ACES: https://hprc.tamu.edu/software/aces/
openjdk,"Anvil, Rockfish",,,,,"OpenJDK is a free, Open-Source version of the Java Development Kit for the Java Platform, Standard Edition (Java SE). Description Source:https://openjdk.org/",https://openjdk.org/,https://openjdk.org/guide/,Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/openjdk
openjdk-11.0.8_10-gcc-9.3.0-5ki5g5i,KyRIC,,,,,"OpenJDK is a free, Open-Source version of the Java Development Kit for the Java Platform, Standard Edition (Java SE). Description Source:https://openjdk.org/",https://openjdk.org/,https://openjdk.org/guide/,
OpenJPEG,ACES,,,,,"OpenJPEG is an open-source JPEG 2000 codec written in C language. It has been developed in order to promote the use of JPEG 2000, a still-image compression standard from the Joint Photographic Experts Group (JPEG). Since may 2015, it is officially recognized by ISO/IEC and ITU-T as a JPEG 2000 Reference Software. Description Source:https://www.openjpeg.org/",https://www.openjpeg.org/,https://github.com/uclouvain/openjpeg/wiki/Installation,ACES: https://hprc.tamu.edu/software/aces/
openldap,OOKAMI,,,,,OpenLDAP Software is an open source implementation of the Lightweight Directory Access Protocol. Description Source:https://www.openldap.org/,https://www.openldap.org/,https://www.openldap.org/doc/,
openmm,"ACES, Rockfish",,,,,"OpenMM is a high-performance toolkit for molecular simulation. Use it as an application, a library, or a flexible programming environment. We include extensive language bindings for Python, C, C++, and even Fortran. Description Source:https://openmm.org/",https://openmm.org/,https://openmm.org/documentation,ACES: https://hprc.tamu.edu/software/aces/
OpenMPI,"Expanse, OOKAMI, ACES, Bridges-2, Rockfish",Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source:https://www.open-mpi.org/",https://www.open-mpi.org/,https://www.open-mpi.org/doc/," ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/openmpi"
openmpi-4.0.4-gcc-9.3.0-ejhqibc,KyRIC,Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source:https://www.open-mpi.org/",https://www.open-mpi.org/software/ompi/v4.0/,https://www.open-mpi.org/doc/v4.0/,
openmpi-4.0.5-gcc-9.3.0-ylywa5h,KyRIC,Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available.",https://www.open-mpi.org/software/ompi/v4.0/,https://www.open-mpi.org/doc/v4.0/,
openmpi-5.0_beta,Delta,Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source:https://www.open-mpi.org/",https://www.open-mpi.org/software/ompi/v5.0/,https://docs.open-mpi.org/en/v5.0.x/,
openmpi4,KyRIC,Library,,,,"The Open MPI Project is an open source Message Passing Interface implementation that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source:https://www.open-mpi.org/",https://www.open-mpi.org/software/ompi/v4.0/,https://www.open-mpi.org/doc/v4.0/,
openms,Rockfish,,,,,"OpenMS offers an open-source C++ library (+ Python bindings) for LC/MS data management, analysis and visualization. It empowers rapid development of mass spectrometry related software. OpenMS is freely available under the three clause BSD license and runs under Windows, macOS and Linux. Description Source:https://openms.de/",https://openms.de/,https://openms.readthedocs.io/en/latest/index.html,
OpenPGM,ACES,,,,,"OpenPGM is an open source implementation of the Pragmatic General Multicast (PGM) specification in RFC 3208 available at www.ietf.org. PGM is a reliable and scalable multicast protocol that enables receivers to detect loss, request retransmission of lost data, or notify an application of unrecoverable loss. Description Source:https://code.google.com/archive/p/openpgm/",https://code.google.com/archive/p/openpgm/,https://code.google.com/archive/p/openpgm/wikis,ACES: https://hprc.tamu.edu/software/aces/
OpenSceneGraph,ACES,,,,,"The OpenSceneGraph is an open source high performance 3D graphics toolkit, used by application developers in fields such as visual simulation, games, virtual reality, scientific visualization and modelling. Written entirely in Standard C++ and OpenGL it runs on all Windows platforms, OSX, GNU/Linux, IRIX, Solaris, HP-Ux, AIX and FreeBSD operating systems. Description Source:https://www.openscenegraph.com/",https://www.openscenegraph.com/,https://www.openscenegraph.com/index.php/documentation,ACES: https://hprc.tamu.edu/software/aces/
